Instrument,Company Common Name,Ticker Symbol,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Year
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,32.3298382797228,25.48889,,26.84061,,68983000000.0,-0.16187,57927820080.0,3.62549,28603000000.0,68983000000.0,,,256441000000.0,2013.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,12.4295126728794,80.38391,38.96,41.46562,39.72,69443000000.0,0.08176,75699600000.0,15.9988,43126000000.0,69443000000.0,334000000.0,140000000.0,20277000000.0,2013.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,13.6266394770111,66.53715,21.559,21.55855,20.0,13436236000000.0,0.11296,3284699914875.0,18.70315,9319590000000.0,13436236000000.0,59360000000.0,16738000000.0,5249965000000.0,2013.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,0.015769461881381,48.35487,66.859,,17.0,4659152000000.0,0.18897,1512905055900.0,45.08539,1706003000000.0,4659152000000.0,5616000000.0,,5476113000000.0,2013.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,19.5980473753411,58.48112,,11.61364,,8925418.0,-0.05342,26160000.0,,7099543.0,8925418.0,,,9813460.0,2013.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,13.186608572599,84.15283,,24.32432,,37218000000.0,0.30808,39871057477.44,32.20139,19524000000.0,37218000000.0,1500000000.0,123000000.0,32809000000.0,2013.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,10.5472030440631,76.66731,38.66,38.6606,35.0,78315000000.0,0.15192,55444896407.88,27.82419,41180000000.0,78315000000.0,,322000000.0,40282000000.0,2013.0
ENI.MI,Eni SpA,ENI,Italy,BBB+,9.29659159613059,46.09118,66.5,69.91738,54.44,138341000000.0,0.2439,63561901421.7,41.86801,58210000000.0,138341000000.0,770182000.0,,98547000000.0,2013.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,12.7562520124504,60.03438,25.0,26.40181,25.0,1382916000000.0,0.47955,534001924889.238,50.37801,570346000000.0,1382916000000.0,5150000000.0,12573000000.0,2880311000000.0,2013.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,600617,China,BB-,10.1082039222349,73.19466,26.06711,26.03282,25.0,10786094778.34,3.32934,11153744987.7258,406.49956,1162792812.46,10786094778.34,,,4393409220.0,2013.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,PETR4,Brazil,A,5.0761781967487,70.90351,18.96,18.2845,27.73333,752967000000.0,0.62595,214687732549.62,75.84146,347940000000.0,752967000000.0,3276900000.0,8873000000.0,304890000000.0,2013.0
OMVV.VI,OMV AG,OMV,Austria,BBB-,11.8644944328609,53.53868,25.0,24.53077,18.0,31848000000.0,0.29481,11385818172.33,34.89859,10873000000.0,31848000000.0,310000000.0,275000000.0,42414000000.0,2013.0
REP.MC,Repsol SA,REP,Spain,BBB+,2.28402038770766,28.85124,40.0,33.61934,32.51111,55547000000.0,0.26034,24265133486.4,48.22651,27217000000.0,55547000000.0,234000000.0,168000000.0,46854000000.0,2013.0
LKOH.MM,NK Lukoil PAO,LKOH,Russia,A,14.038726188569,71.69839,,27.07019,,3599448710000.0,0.11091,1735149040200.0,13.72266,2584430420000.0,3599448710000.0,1322000000.0,19178838070.0,4506453492820.0,2013.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,14.4706702741834,59.00613,32.37576,32.37575,34.74167,3242383170000.0,0.14082,2726634701244.0,28.05424,1721515300000.0,3242383170000.0,4950000000.0,90895690000.0,1744770560000.0,2013.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,13.7942968740343,68.95239,,64.60134,,135595000000.0,0.43899,115618729002.0,66.10697,48016000000.0,135595000000.0,,660000000.0,90113000000.0,2013.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,10.5336098139609,43.93309,,18.96603,,2384986000000.0,-0.21816,1210909254393.88,1.70784,2062494000000.0,2384986000000.0,24400000000.0,,837734000000.0,2013.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,17.9697005980273,57.27322,,17.37322,,1563633000000.0,0.16725,695880548016.03,31.44904,952612000000.0,1563633000000.0,6162200000.0,2876000000.0,1267603000000.0,2013.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,28.5508473293999,73.39345,,22.94486,,8432695000.0,0.63913,9509572812.5,72.27969,4235556000.0,8432695000.0,,,4987743000.0,2013.0
600256.SS,Guanghui Energy Co Ltd,600256,China,BBB+,7.2513110143816,72.01131,,24.15887,,28959691308.13,1.26235,45635251738.16,143.48016,9318729769.22,28959691308.13,,,4805284820.0,2013.0
EQNR.OL,Equinor ASA,EQNR,Norway,A,21.7924588352799,55.03462,71.6,71.6763,58.59167,145572000000.0,0.16306,77248940990.3095,51.27578,58432000000.0,145572000000.0,,2858268000.0,104905241000.0,2013.0
ROSNP.BX,OMV Petrom SA,SNP,Romania,A,21.041491538493,76.55874,,15.34693,,40046870000.0,0.00111,26611402095.783,6.53303,26670510000.0,40046870000.0,,329730000.0,24185220000.0,2013.0
PTT.BK,PTT PCL,PTT,Thailand,A-,11.4894471589032,42.93559,29.29181,29.55666,31.41714,1805039120622.0,0.39541,816901692750.0,59.03087,682310867242.0,1805039120622.0,,5351260290.0,2842408305800.0,2013.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,ELIN,Greece,BBB-,3.50255668452315,21.32683,,,,137789534.37,1.16358,20492191.8,139.7342,44353818.42,137789534.37,,,745786430.0,2013.0
NVTK.MM,Novatek PAO,NVTK,Russia,A,23.0176773682124,40.75084,,19.82425,,597995000000.0,0.42281,1213611508200.0,44.39563,370198000000.0,597995000000.0,637000000.0,427000000.0,298158000000.0,2013.0
PEA.TO,Pieridae Energy Ltd,PEA,Canada,B,,,,,,,,,,,,,,82420.0,2013.0
ENER.KW,Energy House Holding Company KSCP,ENERGYH,Kuwait,BBB-,2.43419855589935,11.85014,,12.32458,,77885263.0,-0.06643,79500000.0,2.61697,62585442.0,77885263.0,,,16808010.0,2013.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,Poland,A-,9.69541731125257,68.27257,,29.12514,,48384000000.0,0.16989,30385000000.0,26.9251,28447000000.0,48384000000.0,126829622.62,,32044000000.0,2013.0
SHEL.L,Shell PLC,SHEL,United Kingdom,A-,12.4814275970933,53.67568,,50.80376,40.0,357512000000.0,0.19247,232137756232.767,24.59977,180047000000.0,357512000000.0,209000000.0,6596000000.0,451235000000.0,2013.0
ECHOE.L,Echo Energy PLC,ECHO,United Kingdom,CCC+,,,,,,,,,,,,,,0.0,2013.0
DANA.AD,Dana Gas PJSC,DANA,United Arab Emirates,AA,8.53553605231458,27.26498,,25.35885,,3521000000.0,0.1978,1635715969.12521,32.04876,2540000000.0,3521000000.0,,8000000.0,652000000.0,2013.0
ROSN.MM,NK Rosneft' PAO,ROSN,Russia,B+,11.2399089215483,70.04382,,12.73585,,7531000000000.0,0.64342,2665865648088.18,74.85011,3130000000000.0,7531000000000.0,57476000000.0,17000000000.0,4694000000000.0,2013.0
GALP.LS,Galp Energia SGPS SA,GALP,Portugal,BBB,3.788509430085,33.33498,31.0,36.23691,36.11667,13717418000.0,0.33855,9188503906.715,57.31229,5160906000.0,13717418000.0,19511175.0,,19764856000.0,2013.0
GSP.MI,Gas Plus SpA,GSP,Italy,B-,5.81457859664978,18.69897,,44.0899,,601247000.0,0.3292,213320695.0,35.97382,208601000.0,601247000.0,,,177861000.0,2013.0
INAI.ZA,INA dd,INA-R-A,Croatia,AA-,5.28576866605036,61.67355,,,,25909000000.0,0.36979,35500000000.0,40.10097,12876000000.0,25909000000.0,,,27444000000.0,2013.0
601857.SS,PetroChina Co Ltd,601857,China,A+,10.1326078738128,70.38912,25.0,20.10325,22.0,2342004000000.0,0.33455,1388437597147.33,39.09425,1132850000000.0,2342004000000.0,4385000000.0,,2258124000000.0,2013.0
ECO.CN,Ecopetrol SA,ECOPETROL,Colombia,BBB,21.7400273754499,50.18224,,36.96537,,132427994000000.0,0.15454,152131784287200.0,29.3271,71119203000000.0,132427994000000.0,1312264000000.0,1355007000000.0,70428714000000.0,2013.0
CVE.TO,Cenovus Energy Inc,CVE,Canada,BBB,9.57278667641716,74.55994,26.63,39.48812,35.23333,25224000000.0,0.42158,22977293620.8,66.81078,9946000000.0,25224000000.0,,138000000.0,18657000000.0,2013.0
NIIS.BEL,NIS ad Novi Sad,NIIS,Republic of Serbia,AA-,23.5881489780103,59.29246,,11.96194,,345629972000.0,0.47514,151156990800.0,52.70831,168996521000.0,345629972000.0,,792349000.0,259538167000.0,2013.0
IOG.L,Iog PLC,IOG,United Kingdom,B+,-5.6984556672992,,,,,16495958.0,-0.07501,14138815.325,0.0,14937154.0,16495958.0,,2380.0,0.0,2013.0
2222.SE,Saudi Arabian Oil Co,2222,Saudi Arabia,AA-,,,,,,,,,,,,,,,2013.0
RNFT.MM,NK Russneft' PAO,RNFT,Russia,BB-,20.8647196632818,68.23498,,14.69072,,123732180000.0,,,,-69003220000.0,123732180000.0,,350443885.0,135366915215.0,2013.0
UNTC.PK,Unit Corp,UNTC,United States of America,BB,8.3994404318788,92.54923,,38.71808,,4022390000.0,0.30835,2534871232.36,31.69046,2173392000.0,4022390000.0,,,1351850000.0,2013.0
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,19.0675512181696,67.99053,,39.43424,,333795000000.0,0.01165,389648100000.0,6.74648,165863000000.0,333795000000.0,5512000000.0,1840000000.0,451509000000.0,2012.0
TTEF.PA,TotalEnergies SE,TTE,France,A,20.2653835933173,40.49698,,54.75918,,225886000000.0,0.22431,121773419076.499,45.92088,93969000000.0,225886000000.0,,1857000000.0,234216000000.0,2012.0
BP.L,BP PLC,BP.,United Kingdom,A-,6.19522262635237,41.71221,,37.94606,,300466000000.0,0.24088,132136608509.174,40.75089,118546000000.0,300466000000.0,4288000000.0,1475000000.0,375765000000.0,2012.0
CVX.N,Chevron Corp,CVX,United States of America,A+,21.0792111978305,60.66906,,43.15808,,232982000000.0,-0.07017,211649564586.56,8.88183,136524000000.0,232982000000.0,435000000.0,1728000000.0,230639000000.0,2012.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,8.77906288240635,23.10243,,89.07216,,60011000000.0,-0.11388,46588435920.0,5.10969,22154000000.0,60011000000.0,,,156442000000.0,2012.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,14.6564297311429,81.08394,,43.41224,,64210000000.0,0.15059,62068189345.1,19.03466,40016000000.0,64210000000.0,458000000.0,197000000.0,20180000000.0,2012.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,13.7780536590667,66.48222,,19.6003,,11956836000000.0,0.12475,3406855241439.0,17.69578,8170733000000.0,11956836000000.0,39100000000.0,19766000000.0,4766495000000.0,2012.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,5.81905751218833,54.72643,,24.1662,,4766207000000.0,0.33058,1855725683420.0,48.52441,1699116000000.0,4766207000000.0,7570000000.0,,5534813000000.0,2012.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,18.5828593294894,105.12219,,11.59762,,9288450.0,-0.16315,25770000.0,,7492959.0,9288450.0,,,10782120.0,2012.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,22.4960051874667,81.4671,,24.5744,,29364000000.0,0.07114,36217905740.03,10.05679,16377000000.0,29481000000.0,1000000000.0,83000000.0,31188000000.0,2012.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,7.24060465293379,76.85501,,45.02408,,76401000000.0,0.1693,50099269887.09,28.11169,39215000000.0,76401000000.0,,309000000.0,38107000000.0,2012.0
ENI.MI,Eni SpA,ENI,Italy,BBB+,18.3982430591001,46.2209,,70.2454,,140192000000.0,0.25664,66650958952.2,38.75867,59060000000.0,140192000000.0,734381000.0,,127109000000.0,2012.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,13.0767993776552,60.76835,,26.29762,,1247271000000.0,0.49744,603113777139.593,51.71694,513374000000.0,1247271000000.0,5150000000.0,15533000000.0,2786045000000.0,2012.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,600617,China,BB-,16.0967248176853,71.58462,,23.17289,,7515596459.53,2.3457,1140072119.41489,298.96321,1099577912.05,7515596459.53,,,3668481380.0,2012.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,PETR4,Brazil,A,5.77709304977953,62.58539,,24.48024,,669031561000.0,0.4405,254851853697.86,58.72036,328421405000.0,669031561000.0,3323000000.0,10109000000.0,281379000000.0,2012.0
OMVV.VI,OMV AG,OMV,Austria,BBB-,15.3743720696862,47.01016,,37.34148,,30519170000.0,0.25661,8952545447.085,34.23292,11161670000.0,30681297000.0,281000000.0,291803000.0,42649231000.0,2012.0
REP.MC,Repsol SA,REP,Spain,BBB+,6.65399597297755,43.479,,48.43266,,64921000000.0,0.65696,19666346643.38,88.64272,26763000000.0,64921000000.0,200000000.0,,57945000000.0,2012.0
LKOH.MM,NK Lukoil PAO,LKOH,Russia,A,16.7025109280542,67.58521,,20.38913,,3023505952500.0,0.04611,1708866635620.5,8.92462,2236656867500.0,3023505952500.0,754000000.0,11303629792.0,4321806213688.0,2012.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,16.7511523970062,59.55912,,34.70645,,2534606420000.0,0.00666,2664179623368.0,13.39098,1525275700000.0,2534606420000.0,5100000000.0,116458560000.0,1624025210000.0,2012.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,15.9595306851915,71.25918,,54.4425,,79949000000.0,0.3953,38932837317.0,54.71529,31260000000.0,79949000000.0,,573000000.0,67174000000.0,2012.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,12.6632610796631,44.44676,,19.4742,,2070963000000.0,-0.19007,1112393574712.81,1.47903,1813179000000.0,2070963000000.0,23400000000.0,,849575000000.0,2012.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,27.4951840578253,57.08525,,17.76028,,1328210000000.0,0.17076,675730024550.28,28.00688,829382000000.0,1328210000000.0,4431000000.0,3431000000.0,1232649000000.0,2012.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,26.0601048494325,56.78097,,26.75267,,9441296000.0,0.94362,7855734062.5,112.9534,3672398000.0,9441296000.0,,,4725123000.0,2012.0
600256.SS,Guanghui Energy Co Ltd,600256,China,BBB+,4.63808456119428,64.32067,,20.89525,,23212326665.03,1.0163,57436500850.52,123.41066,8098945125.0,23212326665.03,,,3715235900.0,2012.0
EQNR.OL,Equinor ASA,EQNR,Norway,A,33.370505972963,55.97909,,66.37639,,141003055905.087,0.13004,79326677879.6557,37.32416,57379111989.9335,141003055905.087,,3043939800.0,120467787000.0,2012.0
ROSNP.BX,OMV Petrom SA,SNP,Romania,A,20.4551221236899,74.74865,,18.2369,,38144620000.0,0.06886,24249342778.2135,10.1567,23438270000.0,38144620000.0,,276350000.0,26258130000.0,2012.0
PTT.BK,PTT PCL,PTT,Thailand,A-,13.3142979683165,42.08586,,27.03263,,1629511031181.0,0.42725,948291475500.0,62.3627,603920176520.0,1629511031181.0,,6629826120.0,2793833064400.0,2012.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,ELIN,Greece,BBB-,3.09562786167883,24.07275,,,,131965410.83,1.25336,40031258.4,143.80228,46332123.95,131965410.83,,,788823530.0,2012.0
NVTK.MM,Novatek PAO,NVTK,Russia,A,23.1260142367476,42.61756,,19.45601,,463133000000.0,0.39158,1050440423760.0,45.48113,290050000000.0,463133000000.0,363000000.0,2022000000.0,210973000000.0,2012.0
PEA.TO,Pieridae Energy Ltd,PEA,Canada,B,,81.17935,,,,,-0.08072,59162436.0,0.15024,,,,,34500.0,2012.0
ENER.KW,Energy House Holding Company KSCP,ENERGYH,Kuwait,BBB-,-9.59661155386172,7.74305,,,,82860117.0,-0.08177,54750000.0,6.58667,62001834.0,82860117.0,,,8938370.0,2012.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,Poland,A-,8.36531525032463,70.4876,,12.1224,,47929000000.0,0.30382,30739000000.0,37.54458,27193000000.0,47929000000.0,208910000.0,,28730000000.0,2012.0
SHEL.L,Shell PLC,SHEL,United Kingdom,A-,15.5229139778338,49.18526,,46.62654,,350294000000.0,0.109,221810219488.582,21.42898,174749000000.0,350294000000.0,272000000.0,4411000000.0,467153000000.0,2012.0
ECHOE.L,Echo Energy PLC,ECHO,United Kingdom,CCC+,-9.38624302129791,73.89101,,,,23118105.25975,-0.0547,8613027.8161672,,19670374.68076,23118105.25975,,,0.0,2012.0
DANA.AD,Dana Gas PJSC,DANA,United Arab Emirates,AA,13.2850755801576,26.95402,,27.63158,,3480000000.0,0.20314,790960082.775146,38.06372,2413000000.0,3480000000.0,,9000000.0,633000000.0,2012.0
ROSN.MM,NK Rosneft' PAO,ROSN,Russia,B+,10.7372285102478,66.20499,,22.17484,,3971000000000.0,0.28036,2862673810149.87,42.67873,2283000000000.0,3971000000000.0,36503000000.0,23000000000.0,3089000000000.0,2012.0
GALP.LS,Galp Energia SGPS SA,GALP,Portugal,BBB,6.83973580591742,32.28166,,30.41517,,13908574000.0,0.25278,9068972382.96,53.42882,5401174000.0,13908574000.0,27802788.0,,18644072000.0,2012.0
GSP.MI,Gas Plus SpA,GSP,Italy,B-,7.48344382225899,17.83802,,43.05257,,679100000.0,0.43178,222302619.0,45.29367,204771000.0,679100000.0,,,267447000.0,2012.0
INAI.ZA,INA dd,INA-R-A,Croatia,AA-,10.9475489495498,66.36879,,35.61387,,28200000000.0,0.44563,39210000000.0,47.82667,14955000000.0,28200000000.0,,,29895000000.0,2012.0
601857.SS,PetroChina Co Ltd,601857,China,A+,11.7542508603022,72.37091,,21.69654,,2168837000000.0,0.32805,1650007378148.67,37.881,1064147000000.0,2168837000000.0,2928000000.0,,2195296000000.0,2012.0
ECO.CN,Ecopetrol SA,ECOPETROL,Colombia,BBB,28.9426365573511,48.91455,,31.94291,,113879578000000.0,0.06524,224497173569760.0,20.35225,64740881000000.0,113879578000000.0,1160771000000.0,,68852002000000.0,2012.0
CVE.TO,Cenovus Energy Inc,CVE,Canada,BBB,10.5856309116522,72.00611,,44.03825,,24216000000.0,0.56297,25132024206.79,68.1558,9782000000.0,24216000000.0,,83000000.0,16842000000.0,2012.0
NIIS.BEL,NIS ad Novi Sad,NIIS,Republic of Serbia,AA-,30.5546651535133,53.64736,,4.08035,,292869349000.0,0.16984,120012454400.0,30.39998,133090660000.0,292869349000.0,,759226000.0,226804268000.0,2012.0
IOG.L,Iog PLC,IOG,United Kingdom,B+,-2.69515272459838,,,,,15224337.0,0.02862,,3.03603,13054997.0,15224337.0,,97300.0,0.0,2012.0
2222.SE,Saudi Arabian Oil Co,2222,Saudi Arabia,AA-,,,,,,,,,,,,,,,2012.0
RNFT.MM,NK Russneft' PAO,RNFT,Russia,BB-,17.2042611102191,69.82527,,47.68212,,136386360000.0,,,,-91718605000.0,136386360000.0,,1707966040.0,131358115440.0,2012.0
UNTC.PK,Unit Corp,UNTC,United States of America,BB,10.2536984588094,92.45177,,41.18065,,3761120000.0,0.38519,2187855006.95,38.56808,1974301000.0,3761120000.0,,,1315123000.0,2012.0
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,21.9300236713253,64.84299,,42.38639,,331052000000.0,0.02718,406272285923.4,10.59635,154396000000.0,331052000000.0,4884000000.0,2081000000.0,467029000000.0,2011.0
TTEF.PA,TotalEnergies SE,TTE,France,A,22.0182031296859,39.37387,,52.7654,,211915857605.178,0.25634,120598672020.065,47.19387,86660194174.7573,211915857605.178,,1417197687.0,231633243150.0,2011.0
BP.L,BP PLC,BP.,United Kingdom,A-,15.7575208408844,42.14,,33.00984,,292907000000.0,0.26418,135750618285.781,39.26633,111568000000.0,292907000000.0,7230000000.0,1520000000.0,375713000000.0,2011.0
CVX.N,Chevron Corp,CVX,United States of America,A+,24.4506695694914,58.53137,,43.301,,209474000000.0,-0.08063,211893938883.2,8.36464,121382000000.0,209474000000.0,429000000.0,1216000000.0,244371000000.0,2011.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,17.5169790817713,20.54118,,35.00428,,59130000000.0,-0.16446,56665440000.0,5.20909,23459000000.0,59130000000.0,,,149731000000.0,2011.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,22.2472700198544,76.0842,,40.16636,,60044000000.0,0.05556,76064594818.4,15.60606,37620000000.0,60044000000.0,439000000.0,258000000.0,24119000000.0,2011.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,18.6499744763845,63.52692,,16.67604,,10786140000000.0,0.13316,4056929905673.0,20.30085,7272846000000.0,10786140000000.0,24607420000.0,29489000000.0,4637090000000.0,2011.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,7.12975806799774,56.56867,,15.16786,,4993784000000.0,0.3883,1813395697400.0,52.69747,1652438000000.0,4993784000000.0,16509000000.0,,5360199000000.0,2011.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,17.3372941581158,46.43439,,11.60499,,9284541.0,-0.22365,22230000.0,,7872753.0,9284541.0,,,7779200.0,2011.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,22.9937675803872,75.35491,,23.49069,,25429000000.0,0.00038,38473295278.29,9.06088,13321000000.0,25554000000.0,724000000.0,92000000.0,30714000000.0,2011.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,15.4156352966248,76.41788,,39.11444,,74777000000.0,0.18073,46252818154.66,27.92487,38600000000.0,74777000000.0,,116000000.0,38339000000.0,2011.0
ENI.MI,Eni SpA,ENI,Italy,BBB+,17.3751749654963,51.47294,,55.69741,,142945000000.0,0.4609,64125795604.76,49.00734,55472000000.0,142945000000.0,743183000.0,,107690000000.0,2011.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,14.8683585867122,59.93055,,25.11156,,1130053000000.0,0.42307,613147958527.327,47.25244,474399000000.0,1130053000000.0,4810000000.0,13341000000.0,2505683000000.0,2011.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,600617,China,BB-,,6.25685,,30.13259,,17933562.66,,1354248734.95804,,-59766211.71,17933562.62,,,25596520.0,2011.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,PETR4,Brazil,A,9.1466116008696,57.17691,,25.34631,,600096965000.0,0.31005,291564344780.12,46.82229,329838881000.0,600096965000.0,2928200000.0,6872015000.0,244176142000.0,2011.0
OMVV.VI,OMV AG,OMV,Austria,BBB-,13.6716932798216,49.20622,,28.50072,,28413471000.0,0.34341,7671272720.88,37.01845,10153547000.0,28895799000.0,308000000.0,181100000.0,34053193000.0,2011.0
REP.MC,Repsol SA,REP,Spain,BBB+,6.56791503633315,51.80461,,35.91881,,70957000000.0,0.72807,28977194294.305,85.14414,23656000000.0,71775000000.0,237000000.0,,51703000000.0,2011.0
LKOH.MM,NK Lukoil PAO,LKOH,Russia,A,18.0879206353122,62.28946,,25.101,,2935835248000.0,0.09163,1448764392241.5,13.47642,2177537772000.0,2935835248000.0,718000000.0,15638579432.0,3928752144900.0,2011.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,23.683925782222,55.75258,,33.58276,,2321888670000.0,-0.09196,2295865773702.0,11.51905,1364391300000.0,2321888670000.0,4376500000.0,93427520000.0,1472849480000.0,2011.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,20.6831064944034,71.35924,,41.40522,,60990000000.0,0.47336,65899558467.15,52.08369,23420000000.0,60990000000.0,,574000000.0,56211000000.0,2011.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,16.2292785430773,42.72658,,20.00506,,1896054000000.0,-0.22739,1031450800839.87,1.20008,1671003000000.0,1896054000000.0,20386000000.0,,795196000000.0,2011.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,15.6010270860087,2.14572,,19.25987,,739895204000.0,1.03145,702565780507.02,112.4678,288046262000.0,739895204000.0,132071193.39,2105000000.0,1029803000000.0,2011.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,2.54632267768482,70.22297,,374.04332,,7794087000.0,0.17765,2315374250.0,22.68168,5591619000.0,7794087000.0,,,3698072000.0,2011.0
